,NPGA/90,G/90,G,G+A/90,Pens,player,NPG/90,minutes,A,season,NPG,NPGA
53236,0,0,0,0,0,Deivid,0,1797,0,2014-2015,0,0
53237,0.21,0.16,3,0.21,0,Manu del Moral,0.16,1678,1,2014-2015,3,4
53238,0.58,0.12,1,0.58,0,Gerard Deulofeu,0.12,782,4,2014-2015,1,5
53239,0,0,0,0,0,Modibo Diakité,0,180,0,2014-2015,0,0
53240,0.31,0.15,1,0.31,0,Baba Diawara,0.15,585,1,2014-2015,1,2
53241,0,0,0,0,0,Stole Dimitrievski,0,90,0,2014-2015,0,0
53242,0.06,0,0,0.06,0,Papakouli Diop,0,1538,1,2014-2015,0,1
53243,0.07,0.07,1,0.07,0,Juan Domínguez,0.07,1256,0,2014-2015,1,1
53244,0.26,0.06,1,0.26,0,Giovani dos Santos,0.06,1390,3,2014-2015,1,4
53245,0.16,0.11,2,0.16,0,Jonathan dos Santos,0.11,1640,1,2014-2015,2,3
53246,0.04,0.04,1,0.04,0,Mauro dos Santos,0.04,2296,0,2014-2015,1,1
53247,0,0,0,0,0,Douglas,0,100,0,2014-2015,0,0
53248,0,0,0,0,0,Rubén Duarte,0,990,0,2014-2015,0,0
53249,0.03,0,0,0.03,0,Sebastián Dubarbier,0,2761,1,2014-2015,0,1
53250,0.2,0.1,1,0.2,0,Duda,0.1,882,1,2014-2015,1,2
53251,0.24,0.12,1,0.24,0,Patrick Ekeng,0.12,756,1,2014-2015,1,2
53252,0,0,0,0,0,Borja Ekiza,0,926,0,2014-2015,0,0
53253,0.28,0.28,1,0.28,0,Aritz Elustondo,0.28,316,0,2014-2015,1,1
53254,0.08,0.08,1,0.08,0,Gorka Elustondo,0.08,1162,0,2014-2015,1,1
53255,0.65,0.32,3,0.65,0,Adri Embarba,0.32,836,3,2014-2015,3,6
53256,0,0,0,0,0,Jon Errasti,0,1725,0,2014-2015,0,0
53257,0.12,0.08,2,0.12,0,Sergio Escudero,0.08,2207,1,2014-2015,2,3
53258,0.13,0.13,1,0.13,0,Javier Espinosa,0.13,718,0,2014-2015,1,1
53259,0.31,0.31,1,0.31,0,Javier Espinosa,0.31,291,0,2014-2015,1,1
53260,0.21,0.11,2,0.21,0,Beñat Etxebarria,0.11,1711,2,2014-2015,2,4
53261,0.09,0.09,2,0.09,0,Xabier Etxeita,0.09,1971,0,2014-2015,2,2
53262,0,0,0,0,0,Fabricio,0,2790,0,2014-2015,0,0
53263,0.18,0.04,1,0.18,0,Fayçal Fajr,0.04,2564,4,2014-2015,1,5
53264,0.08,0.08,1,0.08,0,Luis Fariña,0.08,1186,0,2014-2015,1,1
53265,0,0,0,0,0,Mohammed Fatau,0,699,0,2014-2015,0,0
53266,0.56,0.28,6,0.56,0,Sofiane Feghouli,0.28,1928,6,2014-2015,6,12
53267,0,0,0,0,0,Alex Felip,0,95,0,2014-2015,0,0
53268,0,0,0,0,0,Álex Fernández,0,167,0,2014-2015,0,0
53269,0.04,0.04,1,0.04,0,Augusto Fernández,0.04,2114,0,2014-2015,1,1
53270,0.08,0.08,1,0.08,0,Borja Fernández,0.08,1125,0,2014-2015,1,1
53271,0,0,0,0,0,Borja Fernández,0,202,0,2014-2015,0,0
53272,0,0,0,0,0,Carlos Fernández,0,9,0,2014-2015,0,0
53273,0.13,0.06,1,0.13,0,Fidel,0.06,1425,1,2014-2015,1,2
